"","GSM1237722","GSM1237723","GSM1237724","GSM1237725","GSM1237726","GSM1237727","GSM1237728","GSM1237729","GSM1237730","GSM1237731","GSM1237732","GSM1237733"
"1424378_at",2.70565308709592,2.77544278793053,2.79222074870749,2.97929653820255,3.00971626566766,2.99768383137362,2.95892316423975,2.79641210444884,2.62344040875282,2.70985436842833,2.77066422630389,2.81952206161839
"1417675_a_at",2.18667800467884,2.178297353759,2.21871384620356,1.95678307038512,1.8221821022967,1.74295624769829,2.23556606698065,2.18045135044611,2.17441245363298,2.20364320689921,2.24067572820792,2.20903206525553
"1436530_at",4.76234095281261,4.82545691660517,4.72940063642199,4.08183779374047,4.24900261883785,4.21988792685788,4.92543291004787,4.89046383076206,4.70840920793081,4.77506248071823,4.7271877144628,4.67036074616107
"1428670_at",2.19432381684655,2.15070937375764,2.0865556438261,1.40667818678986,1.29130224420632,1.58770840568498,2.21552475354702,2.25448560844444,2.19116873733616,2.11035135713363,2.03953160653561,2.15103606656443
"1428603_at",2.34347106982767,2.36118151105521,2.43766651454433,2.11356022171124,2.03992652691853,2.10398774723742,2.61050130499071,2.5154762459084,2.2936400206647,2.36144695869751,2.36177239187798,2.41229225126208
"1419162_s_at",1.6493522088382,1.59330724131433,1.93857526570478,2.04185691966104,2.12819134393052,2.05585026957889,2.01596422262721,1.78557620906934,1.40942164095587,1.71171538104798,1.68615477115946,1.61730986455024
"1444118_at",0.947701831321449,0.658508908209633,0.746032596473761,0.65444187550693,1.11984840398023,1.0399315481867,0.845697864545082,0.768170820148044,0.756247821380353,0.662800569850132,0.737940513672145,0.604647343306573
"1447012_at",0.850136927726986,0.623367750817543,0.782209688537473,0.766675647703168,0.690071446726306,0.678784869620436,0.57050422165472,0.563257176223005,0.592049340318724,0.812828394666469,0.775871296786376,0.743657395689351
"1439668_at",0.846483651528663,0.929047965101895,0.692852486115066,0.819834647292311,0.704312368597564,0.772846130466537,0.690382222480247,0.730807665899835,0.979584412185541,0.928468873125742,0.747943022301036,0.889143343257227
"1436040_at",2.27215720938594,2.30021327352391,2.22084748985594,1.59344606616536,1.78773990492739,1.61501832456803,2.30756614314174,2.33728490092168,2.29595004790098,2.34469029106329,2.42475065650829,2.16711794943172
"1440573_at",1.75864447264353,1.54597198737513,1.65590254867328,1.3930248372131,1.87820132124233,1.92561251980759,1.6281851227721,1.75468316008724,1.39555799975829,1.67465659342138,1.73610282622172,1.75753524429236
"1439921_at",0.80331508137379,0.565989066219537,0.803786055061262,0.6718927128933,0.58851112904121,0.611952455648622,0.613326080970464,0.626046748576481,0.837455826407757,0.866684372286804,0.742745028101485,0.623868921831147
"1447654_at",1.0078293811489,1.11235455829106,1.16081076940961,0.967510681112227,1.11703416424889,1.18331334082991,1.01551713646863,0.888839432265849,0.907044561190203,1.19266675656074,1.13174320466208,0.879715320802641
"1428562_at",2.63036505366778,2.85387622995387,2.60952191671828,3.59626301955964,3.60450997045918,3.63020983472788,2.83433559348678,2.73171436424403,2.56249647779997,2.52601889770616,2.5268901841588,2.83516233707911
"1431364_a_at",1.78887731007662,1.67951579797589,1.69638907545222,1.41980711815155,1.79663814006299,1.68254372645646,1.60750838971916,1.54012005245927,1.81633790225744,1.5979082347463,1.41849053207847,1.73906691938273
"1456331_at",1.43700725199397,1.42189726273737,1.38098217931555,1.22354652247833,1.17784958291798,1.13306201806892,1.3439968214382,1.66027170258075,1.39717004965832,1.43653917040741,1.44547301657254,1.44901135501296
"1424609_a_at",3.37857648590955,3.47721332586816,3.45448658007077,3.1541872465967,3.51539756452092,3.52969466736758,3.26510583614992,3.59158621824624,3.5354157365456,3.37744335728808,3.22545579704609,3.49858224442781
"1439592_at",0.774545661684992,0.884538239683681,0.655227655242431,0.88562714015738,0.910213070006443,0.935845883981427,0.782091096262539,0.68121538657054,0.694297275666076,0.689204362465351,0.701738895339205,0.751891294486922
