"","GSM1237722","GSM1237723","GSM1237724","GSM1237725","GSM1237726","GSM1237727","GSM1237728","GSM1237729","GSM1237730","GSM1237731","GSM1237732","GSM1237733"
"Ahr",1.32488968105681,1.36781480348064,1.27083312548988,3.52531810643586,3.5929248597956,3.55776862301315,1.53047281909177,1.32684569162946,1.18237252809404,1.25585285259952,1.29984128130317,1.31904177694861
"Ahrr",2.26171974889989,2.20978270991534,2.07846552623079,3.3399724322681,3.32981677745893,3.35720200899456,2.37155378716117,2.10489571659279,1.97997025453517,2.08772447100632,2.07522577542774,1.95965025662615
"Alox5",3.06511169020564,3.11066388660615,3.07539028214173,4.00573343849036,4.13241253519509,4.13862108323903,3.05933966262248,2.97697220917474,2.96410797504196,2.84359747782129,2.85827694686047,2.91927724766037
"Birc5",3.91943771549705,3.92256129595393,3.93413079185716,2.31375021380947,2.12090846325247,2.03352379846993,4.08341986123257,4.11387523164169,3.90957324536109,4.01567021544094,3.96953236687506,4.00025495578038
"Cd5l",2.07079452383179,2.02713375563919,1.99494733378496,0.849466142956274,1.40456462758928,0.989733891498636,2.29882635341721,2.15045989545511,2.1875218616724,2.31187423379355,2.40375715392026,2.36745167655191
"Apobec1",4.32283735339698,4.38046136683832,4.29790208606714,3.09662702282217,3.18328579927949,3.18245594870346,4.51471786879418,4.44315044995225,4.33906752942467,4.38496781878162,4.35031443763454,4.29449619559238
"Apoc2",1.93265786909089,1.93292306797277,2.03262383997421,3.57002921946124,3.65093530461391,3.70431193153719,1.83203275958861,1.8357154973686,1.83295329160097,1.86086124328653,1.86137781896497,1.70735910293535
"Arg1",0.776689002768878,0.820176749666309,0.63470648084562,4.6586404995638,4.75930015213828,4.71455558483659,0.75355537417112,0.640899847647825,0.711040143258609,0.638099584409471,0.646258978711944,0.950756814482743
"Arg2",1.37133938131815,1.10438244723998,1.53416420164333,3.22883050508296,3.40143342986013,3.40078979657567,0.991755707265723,1.30347834243063,1.2658673401481,1.13571428051548,1.18557561368289,0.876918729884481
"Arsb",4.09301746687816,4.08188386189026,4.12658799500264,2.5068209897598,2.69152335110961,2.68591341213372,4.35156143775106,4.30022224120957,4.15448272024519,4.22793751830863,4.31647383056859,4.25154028450357
"Atf3",4.00259938653642,3.86548133125163,3.95659537117607,2.66445452188955,2.55485568863195,2.64593400439941,3.89367475430947,4.05852426559086,4.03454976911029,4.08600816636193,4.06857408464212,3.83485069746276
"Fxyd2",1.75910236019399,1.79974081295507,1.64531052839511,3.82998731407102,3.91148472194368,3.93330679149823,1.50369910563026,1.60103260533163,1.54026661123369,1.16272234114485,1.34610596103312,1.27003411582099
"Slc7a1",2.96409289291349,2.87796956099482,2.99522627066181,1.86025995993199,1.74508554550502,1.79572567151681,3.18974863455138,3.18613787210848,2.99102883073383,3.06714886371321,3.06273541496345,2.91108531413128
"Bcl2l11",1.63743631905466,1.50881931527529,1.32384109522989,2.58759533831859,2.92137953223037,2.84316235559674,1.69062579367394,1.78471682409583,1.48820467444697,1.75145794411764,1.55470101460332,1.54740875214455
"Blm",2.31406543752524,2.30294239411885,2.3977754254094,1.34585431386135,1.26348102422811,1.0132576585094,2.47163801311649,2.28084651169482,2.31735597734929,2.31579755635791,2.24911660122275,2.22544255606884
"Brca1",2.54888810550261,2.59196107596091,2.62552761584675,1.49073023062594,1.4187401188576,1.53627427806412,2.72883747966152,2.6442663729923,2.55431161036465,2.5418327134475,2.52332554284689,2.45323587204805
"Bub1",3.26642388753956,3.22986574532866,3.23956876903713,1.6956869651608,1.64568569175686,1.52522388626643,3.37729463322905,3.31266037829297,3.23412005596111,3.24345022143321,3.25450458198253,3.23730942429749
"Bub1b",2.99634905268885,3.00459777834342,3.00813058986384,1.3336041848497,1.31963771124453,1.57457275732238,3.14291893425467,3.15001416974645,3.10308944976035,3.05754681159121,3.00660781347859,3.00439258905365
"C5ar1",3.45398309625141,3.4614704046787,3.3252347775799,4.30361568820867,4.436231804973,4.42563031452835,3.75609512059795,3.53374223644524,3.24115330913861,3.37702667662672,3.38054135384621,3.24895682064628
"Aspm",2.73428455432836,2.77943364943254,2.73706466826675,0.966320062848915,0.898427315882924,0.8579550193456,3.02358805034557,3.00406116764993,2.79728249941426,2.90411214827864,2.93496032197439,2.91071820313973
"Cav1",1.60021814689458,1.41337673457091,1.4979747781704,3.97800501175652,3.98746463084679,4.02702189795464,1.54129997570281,1.49528319552993,1.29158740989995,1.49209338378535,1.33458711435379,1.23412904316527
"Ccna2",4.01310293816874,4.10202186714907,4.02590165645282,2.16225732687969,2.17422489668079,1.87990518560981,4.17508975171643,4.13886733285342,4.05551618894047,4.10147447549942,4.0324164473641,4.03261656403637
"Ccnb2",3.73021640154601,3.73268389613711,3.74228085913132,2.43747647833155,2.49524227588015,2.5057653062462,3.92622780164029,3.85248489566143,3.74470093313644,3.79672126139195,3.77454735755321,3.79045260548521
"Ccnd1",4.22605267644432,4.32567198429038,4.27768240194526,3.22910836079525,3.22281791567101,3.22476763690832,4.40696243649341,4.37648473144296,4.22022126535432,4.25810766359977,4.22437084464712,4.31603640876088
"Ccne2",2.21009507499567,2.14790577959503,2.27518585027788,0.475365814013156,0.613613622639574,0.468437930930279,2.34443299502706,2.38574818020549,2.06773291954484,2.20694276114246,2.09865762883962,2.15709799562342
"Ccnf",2.59790463161493,2.55331480009233,2.59495424019405,1.36406392990642,1.15922997774557,1.3018849907189,2.68711689925376,2.65220467683929,2.62160171348031,2.58728916215368,2.67052383251761,2.52569636483778
"Cd2",1.150152136658,1.11382058227598,0.97146777384988,2.1179702688432,2.54392458114634,2.30761175617174,1.19754217435238,1.19533160660156,1.02707029896583,1.00143984278502,1.07784262142944,0.849104716846737
"Entpd1",1.84917155003898,1.87442349399717,1.90553513531776,3.59838743397674,3.63092516951064,3.60220694117728,1.97454961985306,1.90857953488629,1.64621469388287,1.86397485552579,1.64871047804214,1.64483958355292
"Cd80",1.36149220507155,1.50175433919421,1.1932644590092,2.64338119556175,2.62627106491763,2.68408833383294,1.34044528567185,1.47303018880629,1.16497405235891,1.07586283584963,1.08718808657193,1.2407593568835
"Cd86",1.98103779943321,2.00895472492545,1.79262624794548,3.25920601877315,3.3629024456021,3.3264780396955,1.79291338953668,1.81353412810356,1.78644763621297,1.70316902721601,1.65451291791289,1.70102134022777
"Cdc25c",2.00986910838347,1.92269440033707,1.89038127161324,0.849241532506225,0.82467160055335,1.01717000428871,2.0433471569107,2.20761155736566,1.96771077370735,2.06501230247169,2.067963757081,1.88130279216061
"Cdk1",3.86821698586042,3.96868443085991,3.94183497514787,2.72970966994132,2.76442239589147,2.81561555472179,4.08332277485164,3.99698729429114,3.86668925879726,3.9302325539273,3.87164343652475,3.8782279586815
"Cdc45",2.35348863038804,2.4512229316699,2.4083453260912,0.950230519240364,1.20690298712196,1.25987759133115,2.50710009709627,2.47340553357235,2.39138532371062,2.25544998507156,2.33495271957482,2.33819882383771
"Cdk6",3.83782283293997,3.91335712788394,3.89885585049419,2.79657042089515,2.77590455423239,2.82466809746981,3.913188327571,3.93460976873848,3.76404732970036,3.87728239002448,3.81845736458634,3.84353887023282
"Cdkn2c",3.57740954077884,3.6043884806901,3.57408343259098,2.42494924346015,2.29388500746139,2.37014313900451,3.72699849058042,3.70595760351255,3.60230454700117,3.61715379645559,3.56899084255068,3.60115044870113
"Ch25h",2.79103645517234,2.82638893377708,2.71568717694072,1.0265428143333,1.37903269218234,1.13195014821113,2.98957950872604,2.82202169768938,2.73437180055227,2.65681354965739,2.66283124002693,2.73061742575461
"Chek1",2.35060766480189,2.25900915897273,2.3378545981859,0.982967555976982,0.79453612399512,0.924759015545593,2.34809217193899,2.42677476470537,2.18438799010291,2.28774565241193,2.29816406153068,2.37076842161692
"Ccr1",2.63239412668327,2.87637333613825,2.61679840823874,4.57400405265212,4.75535652956819,4.76808109303454,2.78131466750856,2.64032411483889,2.33560734658231,2.57974103159744,2.56222103454725,2.61338603684501
"Plk3",1.37761354502,1.5041617315552,1.11290331039855,2.13986867942183,2.25595683714475,2.21296140657497,1.47597659252049,1.23242432447147,1.35988027320623,0.940124769323798,1.14233063730305,1.27899958237201
"Crem",1.65616683123914,1.7434484434961,1.52451705009245,3.49963725285988,3.64467609105546,3.68166433990108,1.81077536612142,1.65640446874118,1.37039743810341,1.459123950628,1.66109255507331,1.51675494456217
"Vcan",0.954985427137084,1.24794653000434,0.840516495039841,4.62704348180476,4.78721989192965,4.80405050987286,1.03841735941881,0.765937661533908,0.821684321491927,0.853765751465175,0.883739434651094,0.630472465828088
"Ctla2a",0.825943705726674,0.922001390638512,0.708197499533439,3.01338746571413,2.98740679995169,3.04496928375834,0.731616375141093,0.686468906207513,0.689902224699689,0.662800569850132,0.474952755588136,0.69169030898468
"Ctla2b",3.05861491740625,3.13331715222741,3.03752418983156,4.30351590289432,4.42642341514519,4.43513174883996,2.99316929472679,2.98221770198913,2.87306598069448,2.83328149692288,2.79821060951702,2.77907367526124
"Ctsh",2.42468712130567,2.49855699007359,2.53666716880882,3.32995434873809,3.44324379242861,3.52111862625272,2.66134909462005,2.52349476157412,2.43909061158753,2.45803586306925,2.40289735719746,2.39901847557142
"Cybb",3.33198504251084,3.24309489247134,3.38365247285427,1.89555520842636,1.78114782338181,1.59797521491466,3.41557909230688,3.38122433555138,3.21220042912328,3.21999103459375,3.26387695146555,3.21138421043177
"Dck",2.8544188784365,2.6921911828917,2.86297373834296,1.65101184792339,1.80297590533459,1.86008577614319,2.91012022135842,2.940436107954,2.76666946696086,2.84821618677995,2.93163504790562,2.76784385087335
"Dhcr7",3.09166001278708,3.35194532379863,3.18602040346159,2.02433958229402,2.10741890442211,1.7400198447142,3.11850927232633,3.13710062127772,3.08226376886357,3.08448266417981,2.98148917653829,3.00461833088601
"Dhfr",2.6187885315666,2.63403368270466,2.56786316288065,1.75667324994218,1.2602794316814,1.48681002679153,2.65587744983675,2.65619685573133,2.58832046224051,2.52875733951842,2.56884623693138,2.58412344018393
"Ect2",2.31155399963729,2.19240556271498,2.41882951470758,1.11932821359805,1.13732529742213,1.09224663458531,2.46221962862786,2.50666806975026,2.21523624745736,2.43881518268485,2.40000614443368,2.45760311666926
"Edil3",0.909808997804236,0.830288900735686,0.859763438436831,2.50677669544443,2.67325472130146,2.82404083227506,1.00110682973484,0.726767029935231,0.944734353923237,0.682265565277628,0.61741555160523,0.873719702282729
"Ednrb",2.35267564958111,2.36809004597633,2.47918133965165,0.92146609622661,0.991188477393552,1.07667198159116,2.47516837293172,2.52706228911769,2.41531902879279,2.65324450002147,2.648822699158,2.60308744495458
"Ehd1",3.35846950252797,3.47655367389834,3.41715526276553,4.18763427763602,4.33095502188632,4.35243682533214,3.41571294630987,3.33262844374443,3.25635426268746,3.08948345441075,3.12276442580319,3.05895172430874
"Ezh2",3.20676011236989,3.23696106789533,3.19400880981273,1.63729563204634,1.60052177972889,1.48331579794257,3.29841317195532,3.25238993572934,3.1342677321329,3.15859830599366,3.18179946546497,3.24391367834913
"F10",1.39759548441679,1.25663899314677,1.33585961662516,3.44717841208712,3.62502347888521,3.62091343901706,1.33214475063536,1.07637494938755,1.09193978907381,1.14090654684615,1.15684892712099,0.778461735715052
"F5",1.17377954080711,1.16665470559134,0.97146777384988,3.43571250513858,3.56205247914537,3.52103921332129,1.17567031225555,1.11350342641895,1.01091474192809,0.854059662293733,0.933418591744548,0.933351338336566
"Sesn1",3.73966035752893,3.8619365103185,3.75372207627036,2.60330122631889,2.61731971905625,2.69181442045375,3.87990454581137,3.8799965059519,3.72622880259169,3.68332387587382,3.70010007365831,3.80003829351349
"Fabp3",2.44287063546222,2.64165008428411,2.56165088465572,1.20273345802951,1.30135018703766,1.46577782099874,2.56762053874315,2.52801860914583,2.37924824387457,2.338433168396,2.36566071715444,2.33069987544143
"Fasn",3.3197178658394,3.50067863371777,3.36252491232591,2.1576644399055,2.23682611829717,2.31275683959182,3.4347539827093,3.46153582263792,3.35948534124736,3.2755910339261,3.24980084845002,3.33520264162948
"Smc2",3.82343593967471,3.76658154310853,3.86078400603754,2.50359019035637,2.53094528673312,2.51058123235459,3.95613861708854,3.93954463173701,3.729050396465,3.84669105303045,3.84970476643284,3.78924686103912
"Foxm1",2.32773013760206,2.41874646895156,2.39763635049109,1.08919754682444,1.40037512104935,1.24105282154368,2.54793841214439,2.46615266406376,2.33812466909488,2.41102006391903,2.3342600512397,2.44186633686478
"Fos",2.87619359080401,3.22520499496489,2.94282538733324,3.90944555200531,3.97512982282498,3.96426558427709,3.29761789734663,2.79707939662187,2.62646577208166,2.6778588220267,2.7611043810545,3.06743456743555
"Fosl2",1.8129774074898,2.05099192656207,1.91672490859693,3.49318062934857,3.49366303522639,3.49633770210269,2.29120385316534,1.75129469385335,1.75239245695515,1.83503651218906,1.78614168864437,1.9499599951511
"Fpr2",2.32693313336995,2.35810404440052,2.25141729975401,3.74139528607441,3.74916445051932,3.76987500659073,2.06325085841848,2.00766741378083,1.52599101419382,1.48793750369493,1.48875136471891,1.39026695820031
"Fpr1",1.08345977240029,1.1951984237526,1.20931973356803,2.6494839598349,2.58568777338485,2.5581726920092,1.00154879995972,1.0641498588704,0.903835033306838,0.906070829772822,0.911239408445275,0.778921708959456
"Fzd1",0.728224836021386,0.819244571373578,0.826602034732479,1.82510603953833,2.06551197930336,2.26866392699986,0.725890557370873,0.8219268744958,0.811341115768002,0.859294810854317,0.98425717706765,0.708700093966887
"Gab1",1.9630082152586,2.18997944315785,2.12146438933855,3.19663617054564,3.24380539192145,3.25511153568399,2.24680210218099,2.14569919753578,1.71553881972668,1.74239922553199,1.96779819187568,2.17268864353444
"Ggta1",2.71839778594261,2.60854596161129,2.53709188546213,3.65146291479807,3.96822648992317,3.96181669240828,2.68625730894181,2.63659802314595,2.56557024604155,2.51121765129393,2.46504654537843,2.39905377536624
"Gja1",1.32085062106196,1.28019549156353,1.5385865215718,3.64184917612005,3.70593526885735,3.67593970705697,1.54983253132604,1.47458655649218,1.47549617003105,1.53117503291883,1.53279640461444,1.30751184474117
"Gngt2",2.04338054785158,1.98399369966898,1.98136624007351,2.95313870819711,3.05696422948122,3.02578216873332,2.03114711534675,2.18981983353976,1.9463114804886,2.02332219645808,1.86071836795886,1.76508853164903
"Pdpn",3.45703379725748,3.56656258624373,3.41924847657614,4.57495472717482,4.45381559515648,4.4434001805295,3.32060080575102,3.28534786938077,3.06233399214483,3.09557155540183,2.91624311646855,3.02068506576281
"Lpar1",1.79550352888063,1.73512361562566,2.04714910022625,3.76853211258103,3.84152389043502,3.85181960072031,1.98925276918674,1.69962663988734,1.64257622112696,1.70441306398599,1.74270155868003,1.58123439430557
"Cdca3",3.51946584963302,3.55335921080425,3.50368385071327,2.21174257722515,1.77844564895784,1.74440569342168,3.74494684024178,3.74387766519807,3.52985420315285,3.56256312614682,3.45615369299141,3.4810403775099
"Cxcl1",2.6106127157346,2.68239126536878,2.77649616070813,3.42414149847486,3.49416468210018,3.47136188322843,2.48721103456709,2.24931346815518,2.12132233127734,2.23699749954855,2.12766766322586,2.09803377567277
"H60a",2.16285746262225,2.28017938758585,2.14147568036734,3.05983154911173,3.36104733427989,3.33809095586899,2.32860359315528,2.15444927490342,2.03220927644656,1.95747119157908,2.11474475172277,2.33835754130942
"Hells",2.33253141398778,2.2574862512368,2.17932071661036,0.738840725668705,0.808598162132193,0.70527596685812,2.36479071965128,2.29754986704009,2.1707287249942,2.26657939199754,2.30670033192131,2.34770388487264
"Hexb",4.02408814635715,4.07061362875317,4.00776475773935,2.97657724617722,3.01780669469113,3.01853373788643,4.2161720573368,4.16133741195443,4.05467788148894,4.11710879561923,4.0975314084643,4.06961266351476
"Hif1a",2.35788986442614,2.29778297102258,2.27558999662661,3.40306709704,3.55523228336207,3.58568072268569,2.50593187227839,2.39643515120848,2.25580611012595,2.19642632056839,2.20486505658581,2.26845501962409
"H2afx",3.67322140700005,3.70870242059941,3.71718262154235,2.15907453141249,2.36200560166976,2.27823862913038,3.867733740994,3.8330370662474,3.67234039692587,3.7400097935287,3.68604200477496,3.7006922717821
"Hmgb3",2.96392584148968,2.99619097811382,3.0710444295354,1.42700902584139,1.51263013983272,1.63811738299336,3.124558128923,3.16274690974527,2.88851870921326,2.9852903221688,2.99709407161554,2.92874595464818
"Hmmr",3.15906130142353,3.17127356454349,3.21434874376596,1.73807575666677,1.42080760594598,1.69615122504909,3.29500986978613,3.31813894898937,3.21673694010664,3.22612074137397,3.26928792778094,3.20894401235194
"Hsd11b1",1.3771234100596,1.19062968958098,1.27703659897041,2.1611787179601,1.99079445547682,2.2406178498401,1.11788753559945,1.06905576024502,1.17639228770822,0.991339291336406,1.07947833209463,1.31281471120326
"Hspa1b",0.808086249560081,0.961405810486373,0.752001595844907,2.45155670893385,2.38354118259009,2.42154296675951,0.857181879504794,0.946653893234968,0.830320615499261,0.699828515149642,0.701230228400233,0.818436967142619
"Ier3",3.41681303446023,3.54881309932962,3.33905576124811,4.8180745336907,4.94892598170418,4.97274583220011,3.4145550386896,3.31252597241418,3.12712417200926,3.02111039319254,3.09288966927457,3.25368885775154
